序号,招聘平台,岗位类型一级,岗位类型二级,岗位名称,岗位类型企业/公务员/事业单位/军队文职,公司名称,公司规模,所在省份,城市,详细地址,学历要求,经验要求,薪资范围,福利标签,工作内容,任职要求,岗位链接,发布时间,投递起始时间,投递截止时间,证书要求,备注（技能要求）,岗位类型一级,岗位类型二级,"岗位类型
企业/公务员/事业单位/军队文职"
153752,猎聘,能源/化工/环保,化学,有机合成高级研究员,猎头职位,某上海大型制药公司,10000人以上,,杭州,常州,博士,1-3年,27-35k·14薪,,,,https://www.liepin.com/a/76359013.shtml,20260603134410.0,,,,,,,
153753,猎聘,能源/化工/环保,化学,药化科学家/D/ED/VP,猎头职位,某知名公司,100-499人,,杭州,苏州,博士,3年以上,40-60k·14薪,,,,https://www.liepin.com/a/75965373.shtml,20260601092242.0,,,,,,,
153754,猎聘,能源/化工/环保,化学,小核酸设计Leader,猎头职位,某苏州学术/科研公司,1-49人,,杭州,苏州,博士,3-5年,40-60k,,,,https://www.liepin.com/a/75639989.shtml,20260609165909.0,,,,,,,
153755,猎聘,能源/化工/环保,化学,核酸药物研发技术负责人,猎头职位,某南京科技推广服务公司,50-99人,,杭州,南京,本科,10年以上,50-60k·15薪,,,,https://www.liepin.com/a/75535947.shtml,20260608141754.0,,,,,,,
153756,猎聘,能源/化工/环保,化学,药物分析研究员,猎头职位,某苏州学术/科研公司,100-499人,,杭州,苏州,硕士,3-10年,14-18k,,,,https://www.liepin.com/a/75654895.shtml,20260514100021.0,,,,,,,
153757,猎聘,能源/化工/环保,化学,研发研究员,猎头职位,某南京大型石化公司,500-999人,,杭州,南京,硕士,5-10年,20-30k·14薪,,,,https://www.liepin.com/a/74907995.shtml,20260604145938.0,,,,,,,
153758,猎聘,能源/化工/环保,化学,研发工程师,猎头职位,某国内知名新能源公司,10000人以上,,杭州,常州-溧阳,硕士,1-3年,15-25k,,,,https://www.liepin.com/a/75648103.shtml,20260522104500.0,,,,,,,
153759,猎聘,能源/化工/环保,化学,LFP体系电解液开发工程师,猎头职位,世界知名500强集团新能源事业部,5000-10000人,,杭州,南京-栖霞区,硕士,3-5年,20-40k·16薪,,,,https://www.liepin.com/a/73817323.shtml,20260609111952.0,,,,,,,
153760,猎聘,能源/化工/环保,化学,连续流研发,猎头职位,某南京知名公司,1000-2000人,,杭州,南京,统招本科,3-5年,12-20k,,,,https://www.liepin.com/a/76354373.shtml,20260603113842.0,,,,,,,
153761,猎聘,能源/化工/环保,化学,电池辅材研发工程师,猎头职位,世界知名500强集团新能源事业部,5000-10000人,,杭州,南京-栖霞区,硕士,3-5年,20-40k·16薪,,,,https://www.liepin.com/a/75174997.shtml,20260609111951.0,,,,,,,
153762,猎聘,能源/化工/环保,化学,电解液研发,猎头职位,某南京大型新能源公司,5000-10000人,,杭州,南京,硕士,5-10年,30-60k·14薪,,,,https://www.liepin.com/a/76105533.shtml,20260608093315.0,,,,,,,
153763,猎聘,能源/化工/环保,化学,Plant Manager运营经理/工厂长（挤出模压成型/工程塑料/英语商务）,猎头职位,某上海化工公司,100-499人,,杭州,苏州-常熟,统招本科,10年以上,40-60k,,,,https://www.liepin.com/a/74911927.shtml,20260609081054.0,,,,,,,
153764,猎聘,能源/化工/环保,化学,InP 外延工艺专家,猎头职位,某苏州电子/半导体/集成电路公司,100-499人,,杭州,苏州,本科,10年以上,50-70k·13薪,,,,https://www.liepin.com/a/76131105.shtml,20260527175811.0,,,,,,,
153765,猎聘,能源/化工/环保,化学,ECP工艺研发工程师,猎头职位,某苏州知名公司,100-499人,,杭州,苏州-昆山,学历不限,经验不限,25-30k·13薪,,,,https://www.liepin.com/a/75955537.shtml,20260525100542.0,,,,,,,
153766,猎聘,能源/化工/环保,化学,药化科学家,猎头职位,某南京大型制药公司,2000-5000人,,杭州,南京,博士,5-10年,40-60k,,,,https://www.liepin.com/a/75516873.shtml,20260604111321.0,,,,,,,
153767,猎聘,能源/化工/环保,化学,核酸药物研发技术负责人,猎头职位,某南京科技推广服务公司,50-99人,,杭州,南京,博士,5-10年,50-60k·15薪,,,,https://www.liepin.com/a/75537563.shtml,20260608153421.0,,,,,,,
153768,猎聘,能源/化工/环保,化学,方形电芯产品开发（商用车方向）,猎头职位,某南京大型新能源公司,5000-10000人,,杭州,南京,硕士,3-5年,30-40k·16薪,,,,https://www.liepin.com/a/76170513.shtml,20260608093315.0,,,,,,,
153769,猎聘,能源/化工/环保,化学,工艺研发工程师,猎头职位,某知名公司,,,杭州,苏州-相城区,博士,经验不限,25-30k·13薪,,,,https://www.liepin.com/a/75812121.shtml,20260609100504.0,,,,,,,
153770,猎聘,能源/化工/环保,化学,助理供应链协调员,猎头职位,苏州业格企业管理咨询有限公司,1-49人,,杭州,苏州,统招本科,1-3年,6-10k·13薪,,,,https://www.liepin.com/a/74650423.shtml,20260527224327.0,,,,,,,
153771,猎聘,能源/化工/环保,化学,研发总监（半导体材料）,猎头职位,某国内电子/半导体/集成电路公司,100-499人,,杭州,南京,统招本科,10年以上,55-85k,,,,https://www.liepin.com/a/75257973.shtml,20260601151609.0,,,,,,,
153772,猎聘,能源/化工/环保,化学,有机合成高级研究员,猎头职位,某上海专业技术服务公司,100-499人,,杭州,苏州-工业园区,硕士,3年以上,25-30k,,,,https://www.liepin.com/a/75569711.shtml,20260512140929.0,,,,,,,
153773,猎聘,能源/化工/环保,化学,药化总监,猎头职位,某南京咨询服务公司,50-99人,,杭州,苏州,硕士,5-10年,50-70k·15薪,,,,https://www.liepin.com/a/74539835.shtml,20260608173616.0,,,,,,,
153774,猎聘,能源/化工/环保,化学,LNP递送系统开发（LNP配方）,猎头职位,某南京制药公司,100-499人,,杭州,南京,博士,经验不限,30-45k·13薪,,,,https://www.liepin.com/a/76031325.shtml,20260525173028.0,,,,,,,
153775,猎聘,能源/化工/环保,化学,电镀工艺工程师,猎头职位,某苏州知名上市公司,100-499人,,杭州,苏州-昆山,统招本科,5年以上,13-20k·14薪,,,,https://www.liepin.com/a/75199171.shtml,20260527114237.0,,,,,,,
